Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
47422,1701753348.2385902,314808,39351,26,39351,26
18375,1701753348.2385902,314808,39351,26,39351,26
64119,1701753348.2385902,314808,39351,26,39351,26
47422,1701753349.2612307,344320,43040,28,82391,54
18375,1701753349.2612307,190136,23767,16,63118,42
64119,1701753349.2612307,59680,7460,5,46811,31
47422,1701753350.3382375,29760,3720,3,86111,57
18375,1701753350.3382375,184168,23021,15,86139,57
64119,1701753350.3382375,282776,35347,23,82158,54
47422,1701753351.3630042,321776,40222,26,126333,83
18375,1701753351.3630042,345216,43152,28,129291,85
64119,1701753351.3630042,364464,45558,30,127716,84
47422,1701753352.389013,266696,33337,22,159670,105
18375,1701753352.389013,267264,33408,22,162699,107
64119,1701753352.389013,255904,31988,21,159704,105
47422,1701753353.4407868,28136,3517,15,163187,120
18375,1701753353.4407868,17336,2167,15,164866,122
64119,1701753353.4407868,15624,1953,13,161657,118
